# Start timestamp: 1761208149694
# Start time: 23.10.2025 10:29:09.694
# Duration: 00:32.484
# Sensor insoles: Left SN12940, Right SN12941
# Size: 6
# Recording type: normal
# Name: 251023_10:29:09
# Notes: 
# Tag: 
# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[-0.5...+0.5]	left center of pressure Y[-0.5...+0.5]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[-0.5...+0.5]	right center of pressure Y[-0.5...+0.5]
0.00	7.00	3.75	2.75	0.75	0.50	0.00	0.25	0.25	3.00	1.50	1.25	0.50	0.25	8.25	2.00	0.50	-0.191895	0.022461	0.991699	-1.470000	1.260000	0.210000	359.00	0.006468	0.062100																									
0.10	7.50	3.75	3.00	0.75	0.50	0.00	0.25	0.00	2.50	1.75	0.75	1.00	0.25	8.25	1.75	0.25	-0.196777	0.023438	0.994629	-1.540000	1.330000	0.140000	355.00	-0.010339	0.063928																									
0.20	7.00	3.75	3.00	0.75	0.50	0.00	0.25	0.25	3.00	1.25	1.25	1.00	0.50	8.25	2.25	0.50	-0.190918	0.018066	0.993164	-1.470000	1.330000	0.210000	370.00	0.009715	0.052275																									
0.30	7.25	3.50	3.00	0.75	0.50	0.00	0.25	0.25	2.75	1.25	1.25	0.50	0.25	8.50	2.00	0.25	-0.194336	0.015137	0.987305	-1.470000	1.260000	0.350000	356.00	0.000684	0.064490																									
0.40	7.00	3.50	2.75	0.75	0.75	0.00	0.25	0.00	3.25	1.25	1.25	0.75	0.25	8.25	1.75	0.75	-0.194824	0.023926	0.993164	-1.400000	1.260000	0.350000	357.00	0.009076	0.067813																									
0.50	6.50	3.75	3.00	0.75	0.50	0.00	0.25	0.25	2.50	2.25	1.00	0.25	0.25	8.25	2.00	0.25	-0.188965	0.017090	0.994629	-1.470000	1.190000	0.140000	350.00	0.006367	0.063282																									
0.60	7.00	3.25	2.75	0.75	0.50	0.00	0.25	0.25	2.75	1.25	0.75	0.75	0.25	8.25	2.00	0.25	-0.196777	0.024902	0.993652	-1.330000	1.190000	0.280000	343.00	0.004646	0.064809																									
0.70	7.00	3.75	3.00	0.50	0.75	0.00	0.25	0.25	2.75	2.00	1.25	0.25	0.25	8.25	2.00	0.25	-0.191895	0.020508	0.990234	-1.330000	1.050000	0.210000	359.00	0.003657	0.067058																									
0.80	6.75	3.50	3.00	0.50	0.50	0.00	0.25	0.25	3.00	1.25	1.00	0.50	0.50	8.00	2.00	0.50	-0.195801	0.023438	0.991211	-1.400000	1.120000	0.140000	348.00	0.007690	0.063216																									
0.90	6.50	3.75	3.00	0.75	0.75	0.00	0.25	0.25	2.75	1.00	0.50	1.00	0.75	8.25	1.75	0.50	-0.193359	0.021973	0.990234	-1.400000	0.980000	0.140000	349.00	0.000060	0.051939																									
1.00	6.50	3.25	2.75	0.25	0.50	0.00	0.25	0.25	3.50	1.75	1.00	1.00	0.25	8.25	1.25	0.75	-0.199707	0.019531	0.996094	-1.470000	1.050000	0.280000	348.00	0.024502	0.071464																									
1.10	6.00	3.50	3.00	0.50	0.50	0.00	0.25	0.25	3.00	1.50	1.25	1.00	0.00	8.50	1.50	0.25	-0.192871	0.020020	0.995117	-1.330000	1.330000	0.210000	343.00	0.020008	0.067366																									
1.20	6.25	4.00	2.75	0.50	0.50	0.00	0.25	0.25	3.00	1.50	1.00	0.50	0.25	8.50	1.75	0.75	-0.196777	0.019531	0.990723	-1.400000	1.260000	0.210000	348.00	0.015039	0.063600																									
1.30	6.25	3.25	2.50	0.75	0.75	0.00	0.25	0.25	3.00	1.75	1.25	1.00	0.50	8.00	1.75	0.25	-0.193848	0.025391	0.992676	-1.470000	1.120000	0.280000	349.00	0.022604	0.056595																									
1.40	7.25	3.50	2.50	0.75	0.75	0.00	0.25	0.25	3.75	1.50	1.00	1.00	0.50	8.25	2.00	0.00	-0.187500	0.020020	0.985840	-1.470000	1.400000	0.210000	372.00	0.014249	0.065393																									
1.50	7.25	3.25	2.75	0.25	0.50	0.00	0.25	0.25	2.75	1.25	1.25	0.75	0.00	8.50	2.25	0.25	-0.193359	0.021973	0.993164	-1.400000	1.330000	0.210000	348.00	0.014923	0.070290																									
1.60	7.75	3.75	3.25	0.50	0.50	0.00	0.25	0.25	3.00	1.50	1.00	0.75	0.75	8.25	1.75	0.50	-0.194336	0.018555	0.986328	-1.470000	1.190000	0.280000	372.00	-0.006119	0.059003	4.25	2.50	1.50	1.25	0.50	0.50	0.00	0.75	1.25	1.25	2.00	1.50	2.50	7.25	1.00	0.25	-0.220215	0.051758	1.012207	-1.890000	-2.590000	2.660000	307.00	0.041984	-0.029637
1.70	6.50	3.50	3.00	0.75	0.75	0.00	0.25	0.00	2.75	1.50	1.25	0.00	0.50	8.25	2.00	0.50	-0.194824	0.019531	0.984375	-1.470000	1.190000	0.210000	345.00	0.008109	0.068916	4.00	2.00	1.50	1.00	0.00	0.25	0.00	0.50	0.50	0.50	2.00	1.25	2.00	7.00	1.25	0.50	-0.219238	0.047852	1.014648	-1.890000	-2.800000	2.800000	258.00	0.049543	-0.028643
1.80	7.00	3.50	2.25	0.75	0.50	0.00	0.25	0.00	3.00	1.25	0.50	1.00	0.50	8.25	1.50	0.50	-0.194824	0.022949	0.985352	-1.470000	1.120000	0.280000	337.00	0.004984	0.066108	4.50	2.50	1.75	1.00	0.50	0.00	0.00	0.50	1.25	0.50	2.00	1.25	2.00	7.00	1.00	0.75	-0.215820	0.048340	1.008301	-1.820000	-2.660000	2.730000	284.00	0.033123	-0.012137
