# Start timestamp: 1759998836180
# Start time: 09.10.2025 10:33:56.180
# Duration: 00:43.097
# Sensor insoles: Left SN12940, Right SN12941
# Size: 6
# Recording type: normal
# Name: 251009_10:33:55
# Notes: 
# Tag: 
# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[-0.5...+0.5]	left center of pressure Y[-0.5...+0.5]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[-0.5...+0.5]	right center of pressure Y[-0.5...+0.5]
0.00	18.25	14.00	7.00	5.00	2.00	1.25	0.50	2.75	4.75	2.75	3.25	2.50	4.00	14.50	3.75	3.00	-0.182617	0.024902	0.989258	-0.630000	-1.960000	0.000000	984.00	-0.062919	-0.020439																									
0.01	18.50	14.00	7.00	4.75	2.25	1.00	0.50	2.75	5.00	3.00	3.75	2.50	3.75	15.00	3.50	3.00	-0.189453	0.030273	0.987793	-0.490000	-2.590000	-0.070000	995.00	-0.059144	-0.015558	0.75	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.25	0.00	0.00	0.00	1.00	0.00	0.00	0.080078	-0.537598	0.926270	161.559998	-52.920002	10.080000	35.00	0.000000	0.000000
0.02	17.25	13.25	6.25	4.75	2.00	1.25	0.75	2.75	5.50	3.00	4.00	2.75	4.00	16.00	4.00	4.25	-0.185547	0.029297	0.989258	-0.630000	-2.800000	-0.140000	1006.00	-0.034801	-0.017923	1.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.50	0.00	0.00	0.00	1.00	0.00	0.00	0.041016	-0.651855	0.964844	161.910004	-60.900002	6.230000	40.00	0.000000	0.000000
0.03	17.00	12.25	6.25	5.00	2.50	0.50	0.75	2.75	6.25	3.25	4.50	3.50	5.00	17.00	4.75	3.75	-0.186523	0.027344	0.991699	-0.630000	-2.940000	-0.350000	1046.00	-0.014861	-0.016361	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.50	0.00	0.00	0.00	1.00	0.00	0.00	0.009277	-0.732910	0.987305	162.610001	-68.739998	-1.330000	37.00	0.000000	0.000000
0.04	16.25	12.00	6.25	4.75	2.50	0.25	0.75	2.75	6.25	3.75	5.00	3.50	5.00	17.75	4.50	3.75	-0.182617	0.031738	0.988281	-0.350000	-3.080000	-0.280000	1044.00	-0.005161	-0.014322	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.50	0.00	0.00	0.00	0.75	0.00	0.00	-0.039062	-0.866699	1.002930	161.630005	-79.660004	-15.260000	28.00	0.000000	0.000000
0.05	16.00	10.25	6.75	4.50	2.50	0.75	1.00	3.00	6.75	3.75	4.75	3.25	5.00	18.50	4.50	4.00	-0.182617	0.037598	0.997559	-0.350000	-2.380000	-0.280000	1051.00	0.005434	-0.008993	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.50	0.00	0.00	0.00	0.25	0.00	0.00	-0.055176	-0.905762	0.986816	158.830002	-82.949997	-20.580000	24.00	0.000000	0.000000
0.06	15.75	8.75	6.50	4.00	2.00	0.75	1.00	3.00	7.00	4.00	4.75	3.25	5.25	19.75	5.00	4.00	-0.183105	0.029785	0.995605	-0.630000	-1.890000	-0.280000	1044.00	0.024484	-0.004666	0.50	0.50	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.75	0.00	0.00	0.00	0.25	0.00	0.00	-0.094727	-0.951660	1.028320	154.139999	-87.779999	-29.469999	36.00	0.000000	0.000000
0.07	15.00	8.25	6.25	4.25	2.25	0.75	1.25	2.75	7.00	4.00	5.25	3.00	5.25	20.25	4.75	4.25	-0.182617	0.028320	0.988281	-0.770000	-1.400000	-0.280000	1040.00	0.031757	-0.002217	0.50	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.25	0.00	0.00	0.00	0.50	0.00	0.00	-0.115234	-1.011230	1.020020	149.660004	-91.769997	-36.680000	26.00	0.000000	0.000000
0.08	14.00	7.50	5.50	3.50	2.25	0.25	1.25	3.00	7.00	4.75	5.25	3.75	5.50	21.00	5.00	4.50	-0.180664	0.026855	0.995117	-0.910000	-1.120000	-0.210000	1032.00	0.053721	-0.003534	0.50	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.75	0.00	0.00	-0.150391	-1.053223	1.040527	142.660004	-94.849998	-43.049999	19.00	0.000000	0.000000
0.09	12.75	7.50	5.25	3.50	2.25	0.25	1.25	3.00	7.75	5.00	6.00	4.50	5.50	22.00	5.25	5.00	-0.188477	0.034180	0.995117	-1.330000	-0.840000	-0.070000	1060.00	0.070889	-0.005092	0.50	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	-0.193359	-1.064941	1.082520	126.770004	-98.769997	-49.420002	10.00	0.000000	0.000000
