# Start timestamp: 1760341943177
# Start time: 13.10.2025 09:52:23.177
# Duration: 00:33.540
# Sensor insoles: Left SN12940, Right SN12941
# Size: 6
# Recording type: live
# Name: 251013_09:52:24
# Notes: 
# Tag: 
# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[-0.5...+0.5]	left center of pressure Y[-0.5...+0.5]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[-0.5...+0.5]	right center of pressure Y[-0.5...+0.5]
0.00	18.00	13.25	9.25	5.25	2.25	0.75	1.00	0.75	4.25	1.50	2.00	1.00	1.25	11.25	0.75	1.00	-0.235352	0.048828	0.980469	-1.400000	1.260000	0.140000	821.00	-0.135719	0.020108	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	1.00	0.75	1.75	5.00	0.00	0.75	-0.298340	0.096191	0.989746	-2.030000	-2.590000	2.170000	91.00	0.317123	-0.040141
0.02	17.75	13.75	9.25	5.50	2.50	0.75	1.00	0.75	4.00	1.75	2.00	1.00	1.25	11.25	1.00	0.00	-0.235840	0.048340	0.987793	-1.400000	1.120000	0.140000	825.00	-0.139109	0.019017	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	1.00	0.50	1.25	5.25	0.00	0.75	-0.297852	0.098633	0.983887	-2.100000	-2.450000	2.660000	86.00	0.318066	-0.032746
0.04	18.50	13.75	9.50	5.00	2.25	0.75	0.75	0.75	4.25	1.75	2.25	1.00	1.00	11.50	1.00	0.25	-0.243652	0.048340	0.979492	-1.190000	1.190000	0.210000	831.00	-0.137822	0.022536	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.50	1.25	5.25	0.00	1.00	-0.305664	0.101074	0.992676	-2.030000	-2.870000	2.380000	84.00	0.335232	-0.019845
0.06	18.25	14.00	10.00	5.00	2.25	1.00	0.75	1.00	4.50	1.75	2.25	1.25	1.50	11.50	0.75	0.75	-0.238281	0.050781	0.984375	-1.400000	1.330000	0.140000	856.00	-0.133713	0.015629	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	1.00	0.75	1.50	5.50	0.00	0.50	-0.298828	0.093262	0.985840	-2.240000	-3.080000	2.590000	92.00	0.312543	-0.042089
0.08	18.25	13.75	9.50	5.25	2.25	0.50	0.75	1.00	5.25	1.75	1.75	0.00	1.50	11.75	0.75	0.50	-0.240234	0.053223	0.983887	-1.330000	1.120000	0.210000	835.00	-0.135031	0.027462	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.75	1.75	5.50	0.00	0.25	-0.302246	0.097656	0.978516	-2.450000	-3.290000	2.590000	83.00	0.329839	-0.026588
0.10	18.00	14.00	10.00	5.00	2.75	0.50	0.75	1.00	4.00	1.50	2.00	0.25	1.25	11.50	1.00	0.75	-0.239746	0.048828	0.986816	-1.190000	1.050000	0.350000	829.00	-0.142237	0.021119	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	1.00	1.25	5.25	0.00	0.50	-0.301270	0.094727	0.991211	-2.450000	-3.500000	2.240000	84.00	0.329246	-0.025176
0.12	18.25	14.00	9.50	5.25	2.75	0.75	0.75	0.75	4.00	1.50	2.00	0.75	1.50	11.50	0.25	0.00	-0.238281	0.049805	0.982422	-1.330000	1.120000	0.210000	823.00	-0.148557	0.020330	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25	0.00	0.75	0.25	1.25	5.75	0.00	0.75	-0.299316	0.094727	0.987793	-2.030000	-3.430000	2.310000	89.00	0.327131	0.001849
0.14	18.25	14.00	9.50	5.25	2.00	0.75	1.25	0.75	4.00	0.75	2.50	0.75	1.00	11.25	0.75	0.00	-0.238281	0.045410	0.982422	-1.260000	1.190000	0.140000	818.00	-0.147470	0.022320	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.50	1.50	5.75	0.00	0.75	-0.294922	0.089844	0.988281	-1.890000	-3.360000	2.170000	86.00	0.338124	-0.013043
0.16	18.25	13.75	9.75	5.00	2.00	0.75	1.00	0.75	4.00	1.00	1.25	1.00	1.00	11.25	0.50	0.50	-0.238770	0.049316	0.976562	-1.190000	1.190000	0.280000	803.00	-0.151828	0.023558	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.75	1.25	5.75	0.00	0.50	-0.303711	0.092773	0.984863	-2.380000	-3.220000	2.380000	88.00	0.334326	-0.008595
0.18	18.50	14.25	9.50	5.00	2.50	0.25	1.00	0.75	3.50	1.50	1.50	1.25	1.25	11.25	0.75	0.25	-0.233398	0.053223	0.988281	-1.330000	1.190000	0.140000	816.00	-0.149996	0.020182	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.75	1.25	5.25	0.00	0.50	-0.296387	0.090820	0.990234	-2.380000	-3.290000	2.450000	81.00	0.333631	-0.015512
