# Start timestamp: 1760342160680
# Start time: 13.10.2025 09:56:00.680
# Duration: 01:34.828
# Sensor insoles: Left SN12940, Right SN12941
# Size: 6
# Recording type: live
# Name: 251013_09:56:02
# Notes: 
# Tag: 
# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[-0.5...+0.5]	left center of pressure Y[-0.5...+0.5]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[-0.5...+0.5]	right center of pressure Y[-0.5...+0.5]	User 1 label[]	User 1[]
0.00	1.25	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.196289	-0.087402	0.895020	-1.820000	20.790001	-80.779999	19.00	0.000000	0.000000	10.75	12.00	6.00	9.50	1.50	7.75	0.50	6.25	1.25	2.25	4.25	4.50	9.75	4.75	0.00	2.50	-0.267090	0.127441	0.987305	-2.310000	-2.800000	2.450000	947.00	-0.102345	-0.150389		
0.02	1.25	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.201660	0.014160	0.878906	8.540000	25.410000	-71.120003	19.00	0.000000	0.000000	9.50	11.75	6.00	9.50	1.50	8.00	0.50	6.25	1.25	2.50	4.00	4.75	9.25	5.00	0.00	3.00	-0.269531	0.125000	0.988770	-2.590000	-2.730000	2.520000	937.00	-0.094748	-0.152687		
0.04	1.25	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.216309	0.081543	0.777832	21.280001	33.180000	-56.560001	22.00	0.000000	0.000000	9.75	11.50	6.50	9.50	1.75	8.00	0.50	6.00	0.50	1.75	3.75	4.50	9.25	5.00	0.00	3.00	-0.271973	0.125000	0.990723	-2.730000	-2.800000	2.310000	917.00	-0.105604	-0.155124		
0.06	1.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.233887	0.141602	0.761719	32.549999	50.049999	-36.330002	14.00	0.000000	0.000000	8.75	11.75	6.25	9.25	1.50	7.75	0.50	6.00	0.75	2.00	4.00	4.50	8.25	5.00	0.00	2.50	-0.273926	0.127930	0.989258	-2.800000	-2.590000	2.520000	893.00	-0.102166	-0.153134		
0.08	1.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.370117	0.548340	1.282715	187.600006	21.350000	3.360000	14.00	0.000000	0.000000	10.75	12.00	6.00	9.75	1.50	7.75	0.50	5.75	1.00	2.25	3.50	4.00	8.50	5.00	0.00	2.50	-0.272461	0.123535	0.989746	-2.800000	-2.800000	2.450000	914.00	-0.112409	-0.144664		
0.10	1.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.046387	-0.050293	1.420898	110.459999	-9.590000	-13.020000	14.00	0.000000	0.000000	10.75	12.25	6.25	9.50	1.75	7.50	0.50	5.75	1.50	2.50	3.75	4.25	8.50	4.50	0.00	2.75	-0.275391	0.125977	0.990723	-2.870000	-2.730000	2.450000	929.00	-0.109002	-0.141015		
0.12	1.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.277344	-0.125977	1.104980	61.950001	-22.610001	-12.460000	16.00	0.000000	0.000000	10.75	11.75	6.25	9.50	1.75	7.25	0.50	5.50	1.50	2.00	3.75	3.50	8.50	5.00	0.00	2.75	-0.272949	0.122070	0.985352	-2.590000	-2.730000	2.380000	908.00	-0.110140	-0.137476		
0.14	1.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.308594	-0.299316	0.955566	31.360001	-31.990000	-16.100000	16.00	0.000000	0.000000	11.50	12.25	6.50	9.50	1.75	6.75	0.50	5.25	1.00	2.25	3.75	3.75	8.00	5.25	0.00	2.00	-0.271973	0.128906	0.985840	-2.800000	-2.590000	2.380000	906.00	-0.118490	-0.132273		
0.16	1.50	1.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.035156	-0.068359	0.809082	39.480000	-11.900000	17.010000	30.00	0.000000	0.000000	11.00	11.75	6.00	8.25	1.50	6.50	0.50	5.25	1.00	2.50	3.25	3.50	7.75	5.25	0.00	2.25	-0.267090	0.122559	0.982422	-2.940000	-2.520000	2.450000	861.00	-0.112912	-0.132131		
0.18	1.75	1.25	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.202637	-0.240234	0.884277	79.029999	5.740000	20.790001	38.00	0.000000	0.000000	11.00	11.25	6.00	8.75	1.75	6.50	0.75	5.00	1.25	1.75	2.75	3.25	7.75	4.75	0.00	2.50	-0.271973	0.122070	0.984375	-3.010000	-2.310000	2.730000	849.00	-0.119362	-0.130630		
